ID;Domäne;Subdomäne;Priorität;Score;Vollständigkeit;Strukturierbarkeit;Timing;Begründung;Anmerkung;Atomare_Probleme_Seed
SD-001;Mathematik;Algebra;1-Sofort;93;95;98;Jetzt / lokal;Vollständig axiomatisch, geschlossener Problemraum;;
SD-002;Mathematik;Analysis;1-Sofort;91;93;96;Jetzt / lokal;Lehrbuchwissen, exakt verifikabel;;
SD-003;Mathematik;Geometrie;1-Sofort;90;92;95;Jetzt / lokal;Exakter Problemkanon, gut testbar;;
SD-004;Mathematik;Stochastik & Statistik;1-Sofort;89;90;93;Jetzt / lokal;Standardprobleme klar definiert;;
SD-005;Mathematik;Graphentheorie;1-Sofort;89;90;94;Jetzt / lokal;Kombinatorik + Algorithmen, sehr testbar;;
SD-006;Mathematik;Logik & Mengenlehre;1-Sofort;92;92;96;Jetzt / lokal;Formaler Problemraum, ideal für LLM;;
SD-007;Mathematik;Zahlentheorie;1-Sofort;89;89;93;Jetzt / lokal;Kryptografie-Grundlagen, sauber formalisiert;;
SD-008;Mathematik;Differentialgeometrie & Topologie;1-Sofort;82;84;87;Jetzt / lokal;"Abstrakt aber präzise; gute Lehrbuchdichte";;
SD-009;Informatik;Algorithmen & Datenstrukturen;1-Sofort;93;95;98;Jetzt / lokal;Kompetitives Programmieren, exakt testbar;;
SD-010;Informatik;Datenbanken & SQL;1-Sofort;89;91;93;Jetzt / lokal;SQL-Standard als Konsensquelle;;
SD-011;Informatik;Betriebssysteme;1-Sofort;85;88;89;Jetzt / lokal;Man-Pages, POSIX, stabile Konzepte;;
SD-012;Informatik;Software Engineering & Design Patterns;1-Sofort;83;85;87;Jetzt / lokal;SOLID, GoF-Patterns gut abgedeckt;;
SD-013;Informatik;Netzwerktechnik (OSI/TCP-IP);1-Sofort;89;92;95;Jetzt / lokal;RFC-basiert, kaum Ambiguität;;
SD-014;Informatik;Compilerbau & Theoretische Informatik;1-Sofort;86;87;90;Jetzt / lokal;Formal definiert, Standardwerke eindeutig;;
SD-015;Informatik;Verteilte Systeme & Cloud;1-Sofort;80;83;85;Jetzt / lokal;CAP-Theorem, Konsistenzmodelle gut kodifiziert;;
SD-016;Informatik;Cybersecurity (Grundlagen);1-Sofort;79;82;84;Jetzt / lokal;CVE-Systematik, OWASP als Kanon;;
SD-017;Künstliche Intelligenz;Maschinelles Lernen (Grundlagen);1-Sofort;85;88;88;Jetzt / lokal;"Bias-Risiko bei Frontier; Grundlagen stabil";Aktuelle Architekturen → mittelfristig;
SD-018;Künstliche Intelligenz;Natural Language Processing (Klassisch);1-Sofort;81;85;86;Jetzt / lokal;Tokenisierung, Parsing, Klassische NLP stabil;Transformer-Details → mittelfristig;
SD-019;Künstliche Intelligenz;Computer Vision (Grundlagen);1-Sofort;80;84;85;Jetzt / lokal;CNN, Objekterkennung gut dokumentiert;;
SD-020;Künstliche Intelligenz;Wissensrepräsentation & Ontologien;1-Sofort;79;82;84;Jetzt / lokal;OWL, RDF, Beschreibungslogik gut kodifiziert;;
SD-021;Chemie;Anorganische Chemie;1-Sofort;86;88;91;Jetzt / lokal;Klare Nomenklatur, Reaktionstypen klassifizierbar;;
SD-022;Chemie;Organische Chemie (Grundlagen);1-Sofort;85;87;90;Jetzt / lokal;Funktionelle Gruppen, Reaktionsmechanismen stabil;;
SD-023;Chemie;Physikalische Chemie;1-Sofort;84;86;88;Jetzt / lokal;Mathematisch geprägt, gut verifikabel;;
SD-024;Chemie;Analytische Chemie;1-Sofort;83;84;87;Jetzt / lokal;Standardmethoden (HPLC, NMR) gut dokumentiert;;
